,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
0,BUY,2015-01-20 13:40:00+05:30,19593.85,19620.25,19583.7,19620.25,0,19578.41,19546.3,19481.71,19344.19,27.23,66.76,19614.3,19523.1,19620.25,2015-01-20 13:40:00+05:30,BANNNIFTY 50_v2_v2,20355.85,2015-01-29 09:15:00+05:30
1,SELL,2015-01-30 12:00:00+05:30,20058.8,20058.8,20017.5,20019.9,0,20213.47,20329.27,20384.06,20378.91,42.26,23.19,20493.7,20030.2,20017.5,2015-01-30 12:00:00+05:30,BANNNIFTY 50_v2_v2,19415.7,2015-02-05 14:00:00+05:30
2,SELL,2015-02-05 14:55:00+05:30,19270.5,19270.5,19147.6,19180.05,0,19317.67,19292.39,19290.36,19377.88,29.1,31.08,19444.65,19248.75,19147.6,2015-02-05 14:55:00+05:30,BANNNIFTY 50_v2_v2,18815.55,2015-02-10 09:45:00+05:30
3,SELL,2015-02-10 12:15:00+05:30,18753.05,18774.8,18692.85,18701.9,0,18803.31,18729.82,18705.47,18797.63,24.35,40.0,18933.7,18740.05,18692.85,2015-02-10 12:15:00+05:30,BANNNIFTY 50_v2_v2,18801.15,2015-02-10 12:45:00+05:30
4,SELL,2015-02-10 13:30:00+05:30,18669.5,18692.65,18625.45,18637.3,0,18734.87,18727.22,18711.0,18787.95,26.64,33.93,18889.5,18662.45,18625.45,2015-02-10 13:30:00+05:30,BANNNIFTY 50_v2_v2,18798.8,2015-02-10 15:20:00+05:30
5,BUY,2015-02-11 10:15:00+05:30,18993.8,19021.45,18990.05,19021.3,0,18894.77,18798.09,18749.85,18782.34,35.19,70.25,19011.3,18653.5,19021.45,2015-02-11 10:15:00+05:30,BANNNIFTY 50_v2_v2,18854.6,2015-02-12 09:45:00+05:30
6,SELL,2015-02-12 13:05:00+05:30,18782.5,18788.4,18739.85,18748.7,0,18797.03,18837.3,18859.01,18857.03,31.83,38.13,18830.95,18748.9,18739.85,2015-02-12 13:05:00+05:30,BANNNIFTY 50_v2_v2,18854.95,2015-02-12 13:40:00+05:30
7,BUY,2015-02-12 14:35:00+05:30,18941.4,18995.45,18941.4,18991.55,0,18883.93,18861.61,18865.0,18860.13,31.56,73.09,18955.95,18739.85,18995.45,2015-02-12 14:35:00+05:30,BANNNIFTY 50_v2_v2,19225.3,2015-02-16 15:05:00+05:30
8,BUY,2015-02-18 14:45:00+05:30,19345.25,19389.8,19345.25,19389.8,0,19314.79,19286.31,19281.95,19249.13,26.41,67.55,19377.95,19213.5,19389.8,2015-02-18 14:45:00+05:30,BANNNIFTY 50_v2_v2,19257.55,2015-02-19 10:30:00+05:30
9,SELL,2015-02-19 11:05:00+05:30,19031.85,19072.9,19014.75,19027.75,0,19201.54,19250.77,19266.95,19250.91,30.24,17.56,19373.4,19031.85,19014.75,2015-02-19 11:05:00+05:30,BANNNIFTY 50_v2_v2,19214.4,2015-02-19 15:10:00+05:30
10,BUY,2015-02-20 13:30:00+05:30,19262.8,19306.65,19262.8,19302.2,0,19204.53,19156.23,19139.52,19154.94,21.4,72.25,19276.8,19129.05,19306.65,2015-02-20 13:30:00+05:30,BANNNIFTY 50_v2_v2,19088.7,2015-02-20 13:55:00+05:30
11,SELL,2015-02-23 15:10:00+05:30,18977.0,18977.0,18928.25,18929.2,0,18995.91,19049.65,19085.47,19116.17,27.81,32.99,19145.6,18931.75,18928.25,2015-02-23 15:10:00+05:30,BANNNIFTY 50_v2_v2,18984.25,2015-02-25 09:15:00+05:30
12,SELL,2015-02-25 14:10:00+05:30,18853.3,18853.8,18804.7,18814.05,0,18903.99,18930.74,18939.31,18969.79,22.65,23.67,18995.85,18818.75,18804.7,2015-02-25 14:10:00+05:30,BANNNIFTY 50_v2_v2,18779.6,2015-02-27 11:25:00+05:30
13,BUY,2015-02-27 13:05:00+05:30,18914.8,18955.0,18912.65,18947.85,0,18873.46,18798.5,18762.2,18788.08,43.49,72.21,18925.75,18749.65,18955.0,2015-02-27 13:05:00+05:30,BANNNIFTY 50_v2_v2,19924.0,2015-03-04 14:25:00+05:30
