signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
SELL,2024-07-26 20:00:00+05:30,6333,6333,6325,6325,1,6417.66,6449.92,6456.96,6451.35,69.54,0.03,6482,6333,6325,2024-07-26 20:00:00+05:30,CRUDEOILM_v2_v2,6455,2024-07-29 09:00:00+05:30
SELL,2024-07-29 12:00:00+05:30,6425,6425,6349,6349,7,6401.57,6404.6,6419.99,6430.33,30.88,33.47,6455,6400,6349,2024-07-29 12:00:00+05:30,CRUDEOILM_v2_v2,6300,2024-07-31 09:00:00+05:30
BUY,2024-07-31 12:05:00+05:30,6319,6328,6319,6328,1,6314.29,6298.41,6285.45,6288.35,49.29,80.69,6319,6303,6328,2024-07-31 12:05:00+05:30,CRUDEOILM_v2_v2,6422,2024-08-01 20:00:00+05:30
SELL,2024-08-01 22:00:00+05:30,6386,6386,6370,6370,2,6393.53,6414.81,6426.98,6416.9,73.9,11.48,6435,6381,6370,2024-08-01 22:00:00+05:30,CRUDEOILM_v2_v2,6410,2024-08-02 09:15:00+05:30
SELL,2024-08-02 14:00:00+05:30,6364,6364,6355,6355,1,6368.53,6368.89,6379.35,6389.73,27.55,36.65,6387,6364,6355,2024-08-02 14:00:00+05:30,CRUDEOILM_v2_v2,6140,2024-08-05 20:45:00+05:30
SELL,2024-08-06 17:40:00+05:30,6109,6109,6074,6074,5,6116.35,6130.73,6129.13,6138.61,44.01,21.8,6150,6100,6074,2024-08-06 17:40:00+05:30,CRUDEOILM_v2_v2,6136,2024-08-06 19:35:00+05:30
SELL,2024-08-07 12:30:00+05:30,6129,6129,6108,6108,1,6129.05,6132.92,6132.65,6134.52,22.33,17.34,6144,6129,6108,2024-08-07 12:30:00+05:30,CRUDEOILM_v2_v2,6138,2024-08-07 13:50:00+05:30
BUY,2024-08-07 15:20:00+05:30,6158,6168,6158,6168,5,6143.71,6135.95,6133.46,6134.09,41.91,88.34,6158,6128,6168,2024-08-07 15:20:00+05:30,CRUDEOILM_v2_v2,6200,2024-08-08 15:15:00+05:30
BUY,2024-08-08 15:50:00+05:30,6234,6234,6234,6234,1,6215.54,6218.29,6217.37,6202.25,26.12,69.7,6224,6200,6234,2024-08-08 15:50:00+05:30,CRUDEOILM_v2_v2,6318,2024-08-12 17:40:00+05:30
BUY,2024-08-12 21:00:00+05:30,6405,6424,6405,6424,11,6393.81,6383.66,6371.31,6349.57,22.13,72.25,6410,6370,6424,2024-08-12 21:00:00+05:30,CRUDEOILM_v2_v2,6451,2024-08-13 20:35:00+05:30
SELL,2024-08-13 22:40:00+05:30,6410,6410,6408,6408,2,6424.92,6447.21,6460.69,6451.14,20.41,35.82,6459,6410,6408,2024-08-13 22:40:00+05:30,CRUDEOILM_v2_v2,6450,2024-08-14 09:00:00+05:30
BUY,2024-08-14 12:35:00+05:30,6460,6474,6460,6474,1,6459.98,6455.01,6457.77,6452.16,21.36,65.88,6465,6439,6474,2024-08-14 12:35:00+05:30,CRUDEOILM_v2_v2,6435,2024-08-14 12:40:00+05:30
BUY,2024-08-14 14:20:00+05:30,6475,6480,6475,6480,2,6461.82,6456.1,6456.86,6452.55,28.72,73.17,6475,6435,6480,2024-08-14 14:20:00+05:30,CRUDEOILM_v2_v2,6445,2024-08-14 14:45:00+05:30
SELL,2024-08-14 16:05:00+05:30,6425,6425,6400,6400,6,6440.28,6448.8,6452.92,6451.39,33.96,20.12,6480,6425,6400,2024-08-14 16:05:00+05:30,CRUDEOILM_v2_v2,6428,2024-08-16 09:10:00+05:30
SELL,2024-08-16 13:50:00+05:30,6411,6411,6400,6400,3,6412.35,6412.35,6413.3,6420.74,31.34,21.96,6424,6411,6400,2024-08-16 13:50:00+05:30,CRUDEOILM_v2_v2,6315,2024-08-19 18:30:00+05:30
SELL,2024-08-19 19:50:00+05:30,6293,6294,6262,6262,17,6301.5,6296.65,6297.39,6312.08,31.6,34.34,6330,6277,6262,2024-08-19 19:50:00+05:30,CRUDEOILM_v2_v2,6316,2024-08-19 20:45:00+05:30
SELL,2024-08-19 21:30:00+05:30,6273,6273,6230,6230,59,6286.1,6291.27,6294.26,6308.14,21.76,30.8,6320,6262,6230,2024-08-19 21:30:00+05:30,CRUDEOILM_v2_v2,6199,2024-08-20 18:55:00+05:30
SELL,2024-08-20 20:35:00+05:30,6131,6140,6121,6121,26,6170.54,6173.35,6172.36,6191.37,21.34,30.04,6211,6131,6121,2024-08-20 20:35:00+05:30,CRUDEOILM_v2_v2,6153,2024-08-21 14:55:00+05:30
SELL,2024-08-21 16:30:00+05:30,6137,6139,6130,6130,6,6146.09,6141.09,6139.44,6150.58,27.85,36.71,6165,6136,6130,2024-08-21 16:30:00+05:30,CRUDEOILM_v2_v2,6152,2024-08-21 17:25:00+05:30
SELL,2024-08-21 21:40:00+05:30,6080,6080,6064,6064,85,6120.42,6137.07,6140.93,6147.28,20.91,23.94,6198,6067,6064,2024-08-21 21:40:00+05:30,CRUDEOILM_v2_v2,6078,2024-08-22 19:20:00+05:30
BUY,2024-08-22 21:00:00+05:30,6127,6140,6126,6140,32,6106.42,6085.61,6073.6,6078.41,36.1,67.92,6134,6069,6140,2024-08-22 21:00:00+05:30,CRUDEOILM_v2_v2,6354,2024-08-27 14:45:00+05:30
BUY,2024-08-27 17:00:00+05:30,6389,6390,6389,6390,1,6380.94,6382.8,6385.85,6369.4,27.93,60.31,6389,6354,6390,2024-08-27 17:00:00+05:30,CRUDEOILM_v2_v2,6370,2024-08-27 18:00:00+05:30
SELL,2024-08-27 19:50:00+05:30,6351,6352,6323,6327,87,6359.01,6368.71,6376.06,6368.74,22.0,31.2,6384,6345,6323,2024-08-27 19:50:00+05:30,CRUDEOILM_v2_v2,6274,2024-08-28 20:35:00+05:30
