,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,close_above_ema50_cnt,close_below_ema50_cnt,ema50_above_ema200_cnt,ema50_below_ema200_cnt,entry_price,from,symbol,exit_price,to
0,BUY,2015-01-20 13:40:00+05:30,8629.95,8642.95,8627.75,8641.6,0,8620.29,8605.14,8580.36,8528.05,40.14,75.8,8631.7,8599.1,56,0,199,0,8642.95,2015-01-20 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v1,8869.4,2015-01-29 09:20:00+05:30
1,SELL,2015-01-30 14:05:00+05:30,8834.8,8835.75,8806.95,8809.5,0,8838.85,8857.16,8872.93,8875.56,22.76,32.69,8855.9,8827.4,0,41,0,22,8806.95,2015-01-30 14:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,8834.4,2015-02-02 13:35:00+05:30
2,SELL,2015-02-03 11:55:00+05:30,8746.05,8748.2,8729.7,8734.2,0,8789.01,8795.61,8801.0,8817.06,20.75,25.69,8836.05,8744.45,0,6,0,146,8729.7,2015-02-03 11:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,8778.55,2015-02-05 13:10:00+05:30
3,BUY,2015-02-05 14:00:00+05:30,8812.4,8832.85,8807.5,8830.55,0,8789.05,8771.04,8763.61,8768.66,33.18,79.35,8815.35,8748.8,25,0,2,0,8832.85,2015-02-05 14:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,8756.95,2015-02-05 14:55:00+05:30
4,SELL,2015-02-06 10:20:00+05:30,8687.45,8695.05,8680.85,8682.75,0,8715.7,8740.34,8750.34,8760.68,35.26,31.42,8786.1,8683.95,0,21,0,15,8680.85,2015-02-06 10:20:00+05:30,NIFTY 50_ema_adx_rsi_v1,8631.2,2015-02-10 11:15:00+05:30
5,SELL,2015-02-10 13:55:00+05:30,8541.8,8541.8,8525.25,8527.6,0,8564.72,8576.39,8585.94,8616.22,31.72,26.34,8594.85,8537.95,0,14,0,208,8525.25,2015-02-10 13:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,8610.75,2015-02-11 09:15:00+05:30
6,BUY,2015-02-12 14:00:00+05:30,8632.2,8644.1,8631.5,8640.5,0,8623.04,8622.04,8619.74,8618.1,24.9,64.79,8640.45,8602.45,6,0,86,0,8644.1,2015-02-12 14:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,8820.5,2015-02-19 11:00:00+05:30
7,BUY,2015-02-19 15:05:00+05:30,8880.3,8892.35,8880.2,8891.4,0,8844.02,8841.81,8844.29,8831.66,30.7,71.65,8882.0,8794.55,6,0,399,0,8892.35,2015-02-19 15:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,8827.65,2015-02-20 09:35:00+05:30
8,BUY,2015-02-20 11:35:00+05:30,8863.4,8876.85,8862.85,8871.35,0,8851.2,8848.49,8847.84,8837.43,20.83,62.92,8869.55,8819.35,5,0,432,0,8876.85,2015-02-20 11:35:00+05:30,NIFTY 50_ema_adx_rsi_v1,8838.1,2015-02-20 13:55:00+05:30
9,SELL,2015-02-23 14:05:00+05:30,8824.35,8825.85,8782.55,8784.75,0,8834.17,8842.23,8846.74,8845.17,21.73,24.7,8856.1,8813.0,0,7,0,3,8782.55,2015-02-23 14:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,8807.55,2015-02-25 09:15:00+05:30
10,SELL,2015-02-25 14:50:00+05:30,8770.15,8771.95,8752.7,8754.45,0,8785.19,8797.7,8798.36,8802.2,38.94,26.96,8820.9,8764.3,0,13,0,5,8752.7,2015-02-25 14:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,8764.75,2015-02-27 11:35:00+05:30
11,BUY,2015-02-27 13:40:00+05:30,8800.35,8818.9,8800.15,8818.9,0,8787.4,8765.16,8754.6,8759.82,47.19,73.11,8812.3,8761.35,33,0,5,0,8818.9,2015-02-27 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v1,8785.1,2015-02-28 13:15:00+05:30
12,BUY,2015-02-28 15:10:00+05:30,8877.55,8911.8,8876.7,8907.1,0,8844.34,8843.21,8836.33,8817.26,27.02,67.43,8892.85,8763.75,6,0,98,0,8911.8,2015-02-28 15:10:00+05:30,NIFTY 50_ema_adx_rsi_v1,8983.6,2015-03-04 14:30:00+05:30
13,SELL,2015-03-05 11:50:00+05:30,8906.8,8907.85,8896.7,8896.75,0,8921.85,8944.06,8966.61,8964.39,31.81,30.74,8939.4,8903.55,0,49,0,22,8896.7,2015-03-05 11:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,8952.05,2015-03-05 15:10:00+05:30
14,SELL,2015-03-09 09:15:00+05:30,8877.3,8877.3,8830.8,8836.15,0,8908.88,8909.18,8927.17,8940.74,29.8,32.07,8957.35,8869.65,0,1,0,66,8830.8,2015-03-09 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v1,8756.8,2015-03-12 09:20:00+05:30
15,BUY,2015-03-13 09:15:00+05:30,8844.05,8844.05,8816.3,8819.7,0,8770.75,8761.7,8753.64,8757.95,22.85,75.81,8786.2,8749.05,14,0,5,0,8844.05,2015-03-13 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v1,8737.3,2015-03-13 10:05:00+05:30
16,SELL,2015-03-13 11:30:00+05:30,8732.35,8732.45,8696.35,8700.8,0,8742.23,8753.33,8753.02,8757.07,35.44,30.08,8802.6,8724.65,0,18,0,5,8696.35,2015-03-13 11:30:00+05:30,NIFTY 50_ema_adx_rsi_v1,8681.3,2015-03-17 09:45:00+05:30
