,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
0,BUY,2015-01-20 13:40:00+05:30,8629.95,8642.95,8627.75,8641.6,0,8620.29,8605.14,8580.36,8528.05,40.14,75.8,8631.7,8599.1,8642.95,2015-01-20 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,8869.4,2015-01-29 09:20:00+05:30
1,SELL,2015-01-30 14:05:00+05:30,8834.8,8835.75,8806.95,8809.5,0,8838.85,8857.16,8872.93,8875.56,22.76,32.69,8855.9,8827.4,8806.95,2015-01-30 14:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,8834.4,2015-02-02 13:35:00+05:30
2,SELL,2015-02-03 11:55:00+05:30,8746.05,8748.2,8729.7,8734.2,0,8789.01,8795.61,8801.0,8817.06,20.75,25.69,8836.05,8744.45,8729.7,2015-02-03 11:55:00+05:30,NIFTY 50_ema_adx_rsi_v2,8778.55,2015-02-05 13:10:00+05:30
3,BUY,2015-02-05 14:00:00+05:30,8812.4,8832.85,8807.5,8830.55,0,8789.05,8771.04,8763.61,8768.66,33.18,79.35,8815.35,8748.8,8832.85,2015-02-05 14:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,8756.95,2015-02-05 14:55:00+05:30
4,SELL,2015-02-06 10:20:00+05:30,8687.45,8695.05,8680.85,8682.75,0,8715.7,8740.34,8750.34,8760.68,35.26,31.42,8786.1,8683.95,8680.85,2015-02-06 10:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,8631.2,2015-02-10 11:15:00+05:30
5,SELL,2015-02-10 12:10:00+05:30,8595.65,8595.7,8572.85,8580.9,0,8604.98,8592.85,8596.64,8627.92,22.82,39.94,8646.15,8583.6,8572.85,2015-02-10 12:10:00+05:30,NIFTY 50_ema_adx_rsi_v2,8610.75,2015-02-11 09:15:00+05:30
6,BUY,2015-02-12 13:50:00+05:30,8626.4,8640.45,8624.35,8638.55,0,8620.03,8620.83,8619.05,8617.73,24.31,66.41,8630.9,8601.85,8640.45,2015-02-12 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,8820.5,2015-02-19 11:00:00+05:30
7,BUY,2015-02-19 14:45:00+05:30,8837.9,8863.5,8835.4,8857.5,0,8830.32,8836.79,8842.12,8830.08,27.37,63.36,8844.5,8794.55,8863.5,2015-02-19 14:45:00+05:30,NIFTY 50_ema_adx_rsi_v2,8827.65,2015-02-20 09:35:00+05:30
8,BUY,2015-02-20 11:35:00+05:30,8863.4,8876.85,8862.85,8871.35,0,8851.2,8848.49,8847.84,8837.43,20.83,62.92,8869.55,8819.35,8876.85,2015-02-20 11:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,8838.1,2015-02-20 13:55:00+05:30
9,SELL,2015-02-23 14:05:00+05:30,8824.35,8825.85,8782.55,8784.75,0,8834.17,8842.23,8846.74,8845.17,21.73,24.7,8856.1,8813.0,8782.55,2015-02-23 14:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,8807.55,2015-02-25 09:15:00+05:30
