,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
0,BUY,2024-03-06 17:30:00+05:30,77566,77871,77566,77871,8,77572.3,77555.37,77562.27,77548.53,29.75,87.87,77566,77474,77871,2024-03-06 17:30:00+05:30,SILVERMIC 50_v2_v2,78177,2024-03-08 20:50:00+05:30
1,BUY,2024-03-11 11:35:00+05:30,78348,78408,78348,78408,3,78360.74,78363.59,78361.59,78308.18,21.84,64.41,78383,78347,78408,2024-03-11 11:35:00+05:30,SILVERMIC 50_v2_v2,78435,2024-03-11 22:25:00+05:30
2,BUY,2024-03-12 10:30:00+05:30,78500,78804,78500,78804,20,78591.25,78569.66,78539.58,78481.83,23.32,64.71,78669,78380,78804,2024-03-12 10:30:00+05:30,SILVERMIC 50_v2_v2,78540,2024-03-12 16:50:00+05:30
3,BUY,2024-03-12 18:10:00+05:30,78521,78730,78521,78730,22,78573.62,78591.54,78590.02,78554.33,31.08,61.17,78654,78325,78730,2024-03-12 18:10:00+05:30,SILVERMIC 50_v2_v2,78450,2024-03-12 18:25:00+05:30
4,SELL,2024-03-12 19:10:00+05:30,78000,78036,77850,77933,17,78296.63,78447.09,78512.18,78517.84,36.56,33.76,78900,77983,77850,2024-03-12 19:10:00+05:30,SILVERMIC 50_v2_v2,78220,2024-03-13 16:30:00+05:30
5,BUY,2024-03-13 18:30:00+05:30,78325,78399,78325,78399,11,78287.72,78223.17,78186.45,78215.09,38.28,83.18,78325,78216,78399,2024-03-13 18:30:00+05:30,SILVERMIC 50_v2_v2,79033,2024-03-14 21:10:00+05:30
6,BUY,2024-03-15 09:00:00+05:30,79423,80080,79309,79360,46,79203.97,79232.13,79258.89,79161.52,32.77,66.35,79250,79050,80080,2024-03-15 09:00:00+05:30,SILVERMIC 50_v2_v2,79550,2024-03-15 22:50:00+05:30
7,BUY,2024-03-18 16:30:00+05:30,79600,79689,79600,79689,12,79576.58,79540.71,79533.85,79517.71,36.8,72.86,79600,79511,79689,2024-03-18 16:30:00+05:30,SILVERMIC 50_v2_v2,79511,2024-03-18 20:00:00+05:30
8,SELL,2024-03-19 13:45:00+05:30,79250,79250,79146,79146,14,79343.29,79407.94,79471.88,79511.31,48.12,24.34,79403,79250,79146,2024-03-19 13:45:00+05:30,SILVERMIC 50_v2_v2,79364,2024-03-20 09:30:00+05:30
9,SELL,2024-03-20 10:00:00+05:30,79304,79304,79246,79246,4,79299.81,79276.19,79284.39,79338.54,20.4,39.71,79364,79249,79246,2024-03-20 10:00:00+05:30,SILVERMIC 50_v2_v2,79250,2024-03-20 19:00:00+05:30
10,BUY,2024-03-21 09:00:00+05:30,80641,80714,79905,80338,161,79435.66,79358.89,79310.62,79293.71,23.01,87.41,79392,79250,80714,2024-03-21 09:00:00+05:30,SILVERMIC 50_v2_v2,79801,2024-03-21 18:35:00+05:30
